UF,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
PE,202003,1984076,4979995,1671991,4534204,145040,408645,1182518,3192028,1327558,3600673
PE,202004,1990575,4989184,1676924,4541263,145374,408831,1186028,3196836,1331402,3605667
PE,202005,1999546,5004146,1684464,4554155,146022,409762,1190726,3203753,1336748,3613515
PE,202006,2005796,5014993,1689681,4563399,146811,410901,1193222,3207515,1340033,3618416
PE,202007,2011437,5023411,1694262,4570367,147463,411721,1195757,3210829,1343220,3622550
PE,202008,2022029,5040186,1702652,4583997,148885,413912,1200329,3217415,1349214,3631327
PE,202009,2031143,5051670,1709708,4592328,150285,415913,1203665,3218700,1353950,3634613
PE,202010,2041917,5067083,1717877,4603989,151343,417021,1208615,3224916,1359958,3641937
PE,202011,1993459,4954791,1683145,4514489,145712,401610,1195947,3195273,1341659,3596883
PE,202012,2002156,4969669,1690195,4526791,146660,402939,1200531,3203384,1347191,3606323
PI,201401,732627,2247308,677897,2163040,87827,308592,501049,1592137,588876,1900729
PI,201402,737044,2253882,680402,2166305,88161,308791,501227,1588904,589388,1897695
PI,201403,741188,2259303,682460,2168046,88125,307616,500725,1583408,588850,1891024
PI,201404,744164,2262977,683929,2169011,87970,306169,500352,1579170,588322,1885339
PI,201405,746813,2266267,685166,2169946,85235,295066,513261,1619172,598496,1914238
PI,201406,750234,2270756,686811,2171461,85264,294840,513812,1617746,599076,1912586
PI,201407,753536,2275508,688729,2174000,85452,295145,514566,1617286,600018,1912431
PI,201408,758241,2282895,691766,2178664,85770,295603,515976,1617702,601746,1913305
PI,201409,761630,2286426,693954,2180100,86039,295463,516770,1616259,602809,1911722
PI,201410,764512,2292872,695803,2184799,86295,296115,517730,1618075,604025,1914190
PI,201411,767120,2296974,697211,2186838,86235,295542,518473,1618580,604708,1914122
PI,201412,769977,2301593,698587,2188887,86357,295519,518818,1618068,605175,1913587
PI,201501,709467,2133226,648885,2038587,68524,236866,493601,1543540,562125,1780406
PI,201502,712752,2139537,650212,2041369,68740,236954,493378,1542251,562118,1779205
PI,201503,715916,2145780,651772,2044706,69157,237547,493226,1540694,562383,1778241
PI,201504,717778,2149548,652949,2047350,69396,238008,493421,1540556,562817,1778564
PI,201505,719885,2153361,653978,2049318,69210,237093,493445,1539366,562655,1776459
PI,201506,721456,2153526,653633,2045967,69264,237344,489506,1523110,558770,1760454
PI,201507,698060,2089345,633583,1985219,65885,226339,474664,1474714,540549,1701053
PI,201508,701200,2094356,634561,1986217,66802,228857,471112,1460842,537914,1689699
PI,201509,703816,2098308,635623,1987486,67539,230807,469262,1453087,536801,1683894
PI,201510,705270,2099787,636000,1987182,67781,231566,468422,1448983,536203,1680549
PI,201511,707158,2101949,636872,1987734,67808,231079,468643,1448391,536451,1679470
PI,201512,709782,2106139,638016,1989395,67641,229719,469020,1448527,536661,1678246
PI,201601,682743,2052340,620856,1954355,64273,220727,454242,1419499,518515,1640226
PI,201602,685963,2058245,623161,1958740,63808,218996,456865,1425524,520673,1644520
PI,201603,690233,2065832,626261,1964426,63226,216266,460393,1433779,523619,1650045
PI,201604,694803,2074111,629624,1970699,62517,213448,464410,1443147,526927,1656595
PI,201605,698507,2081047,632306,1976041,61968,211043,467534,1450830,529502,1661873
PI,201606,701428,2082922,633457,1975010,63912,224969,475367,1470996,539279,1695965
PI,201607,704938,2088153,635177,1977156,63440,222590,475669,1469080,539109,1691670
PI,201608,707806,2091806,636387,1977892,61972,208951,467009,1439414,528981,1648365
PI,201609,710545,2095816,627867,1956018,62360,209412,466644,1436028,529004,1645440
PI,201610,712888,2098895,628010,1954478,63041,210847,464730,1427382,527771,1638229
PI,201611,714809,2101042,627335,1950978,63975,212775,462066,1417493,526041,1630268
PI,201612,676769,2006401,595089,1863551,59034,197062,443179,1366631,502213,1563693
PI,201701,678524,2008703,611519,1901667,56109,196156,454629,1398761,510738,1594917
PI,201702,681397,2013305,613551,1904941,55751,194374,456783,1403450,512534,1597824
PI,201703,684855,2018733,616124,1909002,55584,193176,459416,1408848,515000,1602024
PI,201704,689232,2024795,619324,1913095,55446,191555,462141,1412771,517587,1604326
PI,201705,688687,2019018,618047,1905902,54781,188589,461105,1406585,515886,1595174
PI,201706,692165,2021304,619912,1905497,55107,188884,460535,1398789,515642,1587673
PI,201707,695564,2025637,621639,1907083,55275,188792,461264,1397902,516539,1586694
PI,201708,699868,2032662,623916,1910542,55531,188722,462034,1397678,517565,1586400
PI,201709,648613,1903586,580522,1793207,48465,165031,440447,1346215,488912,1511246
PI,201710,655781,1916466,584841,1801490,48566,164544,443452,1351931,492018,1516475
PI,201711,662578,1928749,588484,1808865,48619,164172,445997,1357025,494616,1521197
PI,201712,670292,1942871,592083,1816409,48668,163886,447871,1359807,496539,1523693
PI,201801,676153,1953244,596161,1824803,48845,164264,448508,1357849,497353,1522113
PI,201802,682583,1965666,600207,1833259,48833,163708,451102,1362596,499935,1526304
PI,201803,664769,1918828,584858,1789270,45348,152194,443362,1341080,488710,1493274
PI,201804,671978,1931755,589598,1798345,45407,151851,447155,1348495,492562,1500346
PI,201805,681347,1948301,595856,1810067,45435,151224,452047,1357601,497482,1508825
PI,201806,687475,1958620,599711,1816744,45573,151385,453822,1358276,499395,1509661
PI,201807,691356,1963154,602122,1818987,46905,157459,455502,1358557,502407,1516016
PI,201808,665492,1894172,582954,1760917,44082,147897,450524,1344149,494606,1492046
PI,201809,671365,1902769,586630,1765984,44432,148535,452121,1343284,496553,1491819
PI,201810,679292,1916403,591994,1775564,43974,145598,454350,1343352,498324,1488950
PI,201811,685080,1925392,595385,1780877,44034,145394,456262,1344908,500296,1490302
PI,201812,670155,1882394,581219,1739824,41277,136673,449162,1326051,490439,1462724
PI,201901,676941,1895998,587516,1754967,41353,137491,452672,1335350,494025,1472841
PI,201902,683161,1908265,591643,1763823,41289,136819,455396,1340676,496685,1477495
PI,201903,688359,1917317,595087,1770083,41422,137269,456853,1340697,498275,1477966
PI,201904,680232,1897320,588344,1751537,39839,132359,453035,1330515,492874,1462874
PI,201905,686675,1909016,592964,1760356,39873,132072,456565,1336794,496438,1468866
PI,201906,693491,1921611,597420,1769278,39894,131714,459873,1343326,499767,1475040
PI,201907,698258,1929178,600151,1773724,39962,131676,461251,1344230,501213,1475906
PI,201908,704004,1938881,602821,1778299,40036,131703,461958,1343137,501994,1474840
PI,201909,686176,1887253,587036,1730729,37668,124292,455671,1325582,493339,1449874
PI,201910,695098,1906549,592292,1743322,37915,124899,458200,1330395,496115,1455294
PI,201911,701317,1920227,596207,1753087,37857,124589,460556,1335943,498413,1460532
PI,201912,707570,1933851,600057,1762598,37880,124412,462735,1341204,500615,1465616
PI,202001,711218,1941995,605400,1775023,37939,124444,463873,1344087,501812,1468531
PI,202002,695266,1903959,593057,1743655,36270,119039,460126,1336878,496396,1455917
PI,202003,700669,1915656,596870,1751661,36304,118878,461906,1341221,498210,1460099
PI,202004,702581,1918089,598250,1753258,36341,118718,462850,1342041,499191,1460759
PI,202005,705415,1921592,600755,1756351,36517,118870,464529,1343480,501046,1462350
PI,202006,708485,1927524,603336,1761518,36760,119249,465727,1345324,502487,1464573
PI,202007,712317,1934536,606618,1767636,37049,119652,467243,1347352,504292,1467004
PI,202008,716541,1941898,610172,1773894,37311,119892,469242,1350097,506553,1469989
PI,202009,719746,1944960,612768,1776093,37664,120388,470491,1349354,508155,1469742
PI,202010,723594,1950512,615748,1780301,37906,120528,472324,1351350,510230,1471878
PI,202011,706618,1911266,604514,1750243,36508,116298,467298,1339942,503806,1456240
PI,202012,710024,1917160,607172,1754967,36738,116480,469198,1343267,505936,1459747
PR,201401,1258162,3908532,1032337,3449687,305631,1123491,310741,1003912,616372,2127403
PR,201402,1266425,3924774,1034754,3452339,304353,1117346,310237,999166,614590,2116512
PR,201403,1279541,3951539,1039100,3458854,302390,1107094,308621,989133,611011,2096227
PR,201404,1287715,3966526,1040413,3458016,300190,1096866,306782,979562,606972,2076428
PR,201405,1295269,3979351,1041640,3457062,310856,1127039,334404,1075804,645260,2202843
PR,201406,1304699,3996139,1043268,3456628,309611,1120641,332640,1066183,642251,2186824
PR,201407,1308259,3997260,1041304,3445203,307349,1111037,330937,1057817,638286,2168854
PR,201408,1313286,4002989,1039683,3434795,304821,1100957,328735,1046948,633556,2147905
PR,201409,1312627,3975900,1033643,3396513,300716,1080212,325353,1029996,626069,2110208
PR,201410,1318100,3999446,1032696,3403809,298768,1076605,323383,1024783,622151,2101388
PR,201411,1320642,3999538,1030677,3393115,296291,1066804,321402,1015912,617693,2082716
PR,201412,1324514,4003149,1030447,3386999,294417,1058832,319377,1006984,613794,2065816
PR,201501,1196593,3594196,930659,3054621,237729,866961,285403,892216,523132,1759177
PR,201502,1203350,3606618,931361,3053141,235994,859797,283310,884302,519304,1744099
PR,201503,1214072,3629597,934381,3058316,235079,854739,280588,873293,515667,1728032
