UF,anomes,ibge,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
AL,202009,27588746,670789,1739868,558378,1587848,48811,145141.0,406732.0,1158319.0,455543.0,1303460.0
AL,202010,27588746,674907,1746265,561510,1592856,49130,145318.0,408603.0,1161044.0,457733.0,1306362.0
AL,202011,27588746,654420,1699033,546684,1553747,46730,138348.0,402607.0,1146684.0,449337.0,1285032.0
AL,202012,27588746,657130,1703837,548805,1557704,46917,138495.0,403992.0,1149323.0,450909.0,1287818.0
AL,202104,27588746,678547,1739280,568687,1592324,47707,135432.0,419035.0,1178440.0,466742.0,1313872.0
AL,202105,27588746,684268,1749795,573404,1601436,48093,135328.0,422262.0,1185174.0,470355.0,1320502.0
AL,202106,27588746,689304,1758429,577489,1608846,48472,135331.0,425083.0,1190647.0,473555.0,1325978.0
AL,202107,27588746,694512,1766888,581623,1615875,48792,134998.0,427798.0,1195443.0,476590.0,1330441.0
AL,202108,27588746,699459,1775099,585570,1622795,49201,135095.0,430315.0,1199926.0,479516.0,1335021.0
AL,202109,27588746,704765,1783585,589635,1629574,49608,135062.0,433036.0,1204584.0,482644.0,1339646.0
AL,202110,27588746,709536,1790333,593259,1634893,49895,134840.0,435445.0,1208152.0,485340.0,1342992.0
AL,202111,27588746,721749,1808152,603325,1649949,51695,136916.0,441702.0,1216800.0,493397.0,1353716.0
AL,202112,27588746,728051,1817581,608675,1658222,52841,138455.0,445162.0,1222154.0,498003.0,1360609.0
AM,201401,8073418,553150,1990552,514314,1932151,102869,380814.0,336479.0,1324415.0,439348.0,1705229.0
AM,201402,8073418,556685,1999048,517028,1939244,103878,384758.0,336504.0,1322136.0,440382.0,1706894.0
AM,201403,8073418,562323,2013101,521446,1951226,105342,390152.0,337035.0,1321147.0,442377.0,1711299.0
AM,201404,8073418,567666,2026156,525424,1962064,106368,393635.0,337845.0,1321386.0,444213.0,1715021.0
AM,201405,8073418,572309,2037587,528959,1971532,100717,369204.0,356442.0,1385026.0,457159.0,1754230.0
AM,201406,8073418,578575,2053002,533687,1984417,101768,372763.0,358264.0,1388809.0,460032.0,1761572.0
AM,201407,8073418,583445,2065500,537400,1995114,102462,375287.0,360325.0,1394189.0,462787.0,1769476.0
AM,201408,8073418,589745,2082759,542511,2010326,103751,380034.0,362825.0,1400486.0,466576.0,1780520.0
AM,201409,8073418,593826,2091785,545978,2018381,104843,383635.0,364227.0,1402312.0,469070.0,1785947.0
AM,201410,8073418,598942,2107617,549744,2032093,105734,387380.0,366145.0,1408969.0,471879.0,1796349.0
AM,201411,8073418,602668,2117876,552630,2041038,106271,389275.0,367752.0,1413854.0,474023.0,1803129.0
AM,201412,8073418,605512,2126316,554746,2048216,107128,392840.0,368200.0,1414885.0,475328.0,1807725.0
AM,201501,8073418,565491,2016477,522741,1951524,95704,359275.0,350241.0,1356722.0,445945.0,1715997.0
AM,201502,8073418,568409,2024265,524902,1958154,96085,360523.0,351235.0,1359705.0,447320.0,1720228.0
AM,201503,8073418,571630,2033873,527327,1966339,97158,364440.0,351187.0,1359011.0,448345.0,1723451.0
AM,201504,8073418,574514,2042536,529577,1973877,97893,367228.0,351840.0,1360721.0,449733.0,1727949.0
